,gain
days_since_smap,0.004506092
SWC_5_lag3,0.00499421
wind,0.006176569
ppt_3d,0.008421842
SWC_20_lag1,0.008740822
ppt_7d,0.008865924
Tair,0.009745568
api,0.010401822
ppt_30d,0.010515102
SWC_5_lag2,0.010603008
SWC_5_lag7,0.0114011215
swc5_trend7,0.011608124
ppt_15d,0.012877202
srad_roll7,0.013004802
Ppt,0.013113508
RH,0.013790511
doy_sin,0.014622153
T_5,0.015127352
SMAP_ff,0.016430125
month,0.016783793
doy_cos,0.017006366
Srad,0.01768237
swc5_roll7,0.022882557
SWC_50_lag1,0.025121504
swc5_roll30,0.049417507
SWC_10_lag1,0.05415385
SWC_5_lag1,0.14084242
SWC_5,0.45116374
