,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag,Tair,RH,Wind speed,Wind direction,Srad,Ppt
2015-01-01 00:00:00,0.232,0.266,0.2581950731003205,0.266,4.35,5.24,5.823874408630637,12.4,176,-0.632,84.5,1.102,359.6,0.0,0.0
2015-01-01 01:00:00,0.232,0.266,0.2581950731003205,0.266,4.25,5.16,5.758584063225726,12.37,176,-0.542,84.6,0.874,14.88,0.15,0.0
2015-01-01 02:00:00,0.232,0.266,0.2581950731003205,0.266,4.21,5.09,5.711948102222218,12.35,176,-0.439,83.4,1.178,22.2,0.27,0.0
2015-01-01 03:00:00,0.232,0.265,0.2581950731003205,0.266,4.19,5.06,5.637330564616607,12.31,176,-0.328,83.0,0.785,28.02,0.26,0.0
2015-01-01 04:00:00,0.232,0.265,0.2581950731003205,0.266,4.18,5.0,5.5906946036131,12.31,176,-0.311,91.0,0.811,5.05,0.04,0.0
2015-01-01 05:00:00,0.232,0.265,0.2573343050785999,0.266,4.11,4.97,5.5347314504088905,12.27,144,-0.912,99.1,1.357,8.44,0.48,0.0
2015-01-01 06:00:00,0.232,0.265,0.2573343050785999,0.266,3.99,4.87,5.478768297204682,12.24,144,-1.06,99.6,1.565,24.34,0.63,0.0
2015-01-01 07:00:00,0.232,0.265,0.2573343050785999,0.265,3.84,4.77,5.441459528401876,12.22,144,-1.007,99.7,1.192,21.52,0.56,0.0
2015-01-01 08:00:00,0.231,0.265,0.2573343050785999,0.265,3.71,4.65,5.394823567398369,12.18,144,-0.928,100.0,0.765,14.56,2.01,0.0
2015-01-01 09:00:00,0.231,0.265,0.2573343050785999,0.266,3.63,4.55,5.348187606394861,12.16,144,-0.786,100.0,1.172,29.33,18.4,0.0
2015-01-01 10:00:00,0.231,0.265,0.2573343050785999,0.266,3.65,4.52,5.301551645391354,12.12,144,-0.411,100.0,1.268,35.18,37.25,0.0
2015-01-01 11:00:00,0.232,0.265,0.2573343050785999,0.266,3.77,4.54,5.264242876588548,12.11,144,-0.188,100.0,1.028,17.22,53.09,0.0
2015-01-01 12:00:00,0.232,0.265,0.2573343050785999,0.266,3.94,4.63,5.217606915585041,12.08,144,0.177,100.0,0.89,19.52,84.2,0.762
2015-01-01 13:00:00,0.232,0.265,0.2573343050785999,0.265,4.25,4.81,5.180298146782234,12.05,144,0.4,100.0,1.059,342.8,72.3,1.016
