Station_ID,Date,Precipitation,T_Max,T_Min,SMAP_Moisture
CB07,2014-11-13,0.0,9.38,0.2,0.22622727272727275
CB07,2014-11-14,0.0,10.15,3.9,0.22514583333333335
CB07,2014-11-15,0.0,12.53,4.68,0.22702083333333334
CB07,2014-11-16,0.75,12.08,7.65,0.2285625
CB07,2014-11-17,0.0,10.66,3.03,0.224625
CB07,2014-11-18,0.0,11.75,2.93,0.2245
CB07,2014-11-19,0.0,15.64,4.81,0.22642708333333336
CB07,2014-11-20,0.0,17.96,9.21,0.22928125
CB07,2014-11-21,0.0,20.36,13.14,0.23152083333333331
CB07,2014-11-22,19.8,17.89,16.12,0.2750208333333333
CB07,2014-11-23,0.0,18.68,11.65,0.3095572916666666
CB07,2014-11-24,0.0,14.78,7.64,0.28546354166666665
CB07,2014-11-25,0.0,14.35,5.12,0.27402678571428574
CB07,2014-11-26,0.0,15.11,6.06,0.2658940476190476
CB07,2014-11-27,0.0,14.06,5.57,0.2592666666666667
CB07,2014-11-28,0.0,16.39,7.6,0.2567291666666667
CB07,2014-11-29,0.0,18.02,10.81,0.25533333333333336
CB07,2014-11-30,0.0,20.3,14.54,0.25497916666666665
CB07,2014-12-01,0.0,15.98,9.66,0.24904166666666663
CB07,2014-12-02,0.0,13.11,8.01,0.24272916666666666
CB07,2014-12-03,0.0,15.98,10.95,0.2438958333333333
CB07,2014-12-04,0.0,18.81,14.18,0.24516666666666667
CB07,2014-12-05,0.0,21.0,15.69,0.24535416666666665
CB07,2014-12-06,0.0,18.28,12.42,0.24102083333333332
CB07,2014-12-07,0.0,13.53,11.01,0.23677083333333335
CB07,2014-12-08,0.0,17.31,9.49,0.23650000000000002
CB07,2014-12-09,0.0,17.55,9.64,0.23597916666666666
CB07,2014-12-10,0.25,16.22,12.24,0.23529166666666668
CB07,2014-12-11,0.25,15.65,14.1,0.23475
CB07,2014-12-12,0.0,17.5,14.26,0.23487500000000003
CB07,2014-12-13,0.0,17.1,12.67,0.23347916666666668
CB07,2014-12-14,0.0,17.01,13.73,0.23324999999999999
CB07,2014-12-15,0.0,17.39,10.85,0.23172619047619047
CB07,2014-12-16,0.0,15.2,6.77,0.2281279761904762
CB07,2014-12-17,0.5,12.62,10.86,0.2275
CB07,2014-12-18,0.0,18.13,11.7,0.22891666666666666
CB07,2014-12-19,4.06,13.98,11.01,0.22808333333333333
CB07,2014-12-20,0.0,14.96,9.31,0.22933333333333336
CB07,2014-12-21,0.0,12.98,8.4,0.22920833333333335
CB07,2014-12-22,0.0,15.5,9.42,0.23072916666666668
CB07,2014-12-23,5.83,11.64,6.45,0.24133333333333332
CB07,2014-12-24,0.0,11.26,4.38,0.2625138888888889
CB07,2014-12-25,0.0,10.83,2.83,0.2531319444444445
CB07,2014-12-26,0.0,16.21,7.5,0.25047916666666664
CB07,2014-12-27,0.0,13.33,7.22,0.24416666666666664
CB07,2014-12-28,2.29,10.05,4.8,0.23820833333333333
CB07,2014-12-29,0.0,14.12,3.62,0.24143749999999997
CB07,2014-12-30,0.75,9.05,5.12,0.2403125
CB07,2014-12-31,0.0,5.74,2.63,0.23870833333333333
CB07,2015-01-01,1.51,4.2,2.44,0.2429583333333333
CB07,2015-01-02,3.52,4.84,3.22,0.2652083333333333
CB07,2015-01-03,2.53,12.02,3.55,0.302
CB07,2015-01-04,0.0,9.67,2.66,0.2804375
CB07,2015-01-05,0.0,9.1,1.5,0.2664375
CB07,2015-01-06,0.0,13.98,3.76,0.26310416666666664
CB07,2015-01-07,0.0,10.24,4.57,0.2577375
CB07,2015-01-08,0.0,4.57,1.36,0.24895
CB07,2015-01-09,0.0,4.23,2.89,0.2470416666666667
CB07,2015-01-10,1.26,3.56,2.12,0.26085416666666666
CB07,2015-01-11,7.86,12.38,2.96,0.3073125
CB07,2015-01-12,0.25,7.76,5.04,0.2935625
CB07,2015-01-13,0.0,5.19,2.97,0.28975
CB07,2015-01-14,0.75,5.07,3.4,0.28985416666666663
CB07,2015-01-15,0.25,11.15,3.23,0.29210416666666666
CB07,2015-01-16,0.0,13.04,2.46,0.28075694444444443
CB07,2015-01-17,0.0,12.26,5.62,0.27210555555555554
CB07,2015-01-18,0.0,14.11,3.71,0.2652729166666667
CB07,2015-01-19,0.0,16.57,5.99,0.26147708333333336
CB07,2015-01-20,0.0,18.58,6.29,0.25822083333333334
CB07,2015-01-21,2.0300000000000002,11.64,8.3,0.2534166666666667
CB07,2015-01-22,25.13,9.76,6.05,0.30703273809523807
CB07,2015-01-23,7.61,7.52,3.86,0.3199464285714286
CB07,2015-01-24,0.0,12.2,2.39,0.3004166666666666
CB07,2015-01-25,0.0,14.11,4.3,0.2913194444444444
CB07,2015-01-26,0.0,14.07,4.88,0.2802951388888889
CB07,2015-01-27,0.0,17.96,5.95,0.2748520833333334
CB07,2015-01-28,0.0,18.41,8.83,0.2705020833333333
CB07,2015-01-29,0.0,20.0,10.55,0.26715625000000004
CB07,2015-01-30,0.0,15.69,9.95,0.2612291666666667
CB07,2015-01-31,3.3,12.65,9.93,0.2566875
CB07,2015-02-01,0.0,16.31,10.51,0.2622847222222222
CB07,2015-02-02,0.0,11.34,4.14,0.2579652777777778
CB07,2015-02-03,0.0,9.33,6.0,0.255625
CB07,2015-02-04,0.0,16.14,7.23,0.2567083333333333
CB07,2015-02-05,0.25,10.29,6.06,0.25329166666666664
CB07,2015-02-06,0.0,16.17,5.94,0.2530833333333333
CB07,2015-02-07,0.0,18.22,6.67,0.25356249999999997
CB07,2015-02-08,0.0,21.51,10.57,0.2548333333333333
CB07,2015-02-09,0.0,21.75,8.92,0.2519791666666667
CB07,2015-02-10,0.0,22.47,11.38,0.2504553571428571
CB07,2015-02-11,0.0,22.85,12.06,0.24769880952380952
CB07,2015-02-12,0.0,18.96,10.27,0.2427
CB07,2015-02-13,0.0,18.83,8.46,0.23940416666666664
CB07,2015-02-14,0.0,22.81,10.39,0.23911666666666664
CB07,2015-02-15,0.0,19.6,13.94,0.23775
CB07,2015-02-16,0.0,15.74,9.69,0.2333125
CB07,2015-02-17,0.0,15.98,6.8,0.22947916666666668
CB07,2015-02-18,0.0,18.36,5.07,0.22919444444444445
CB07,2015-02-19,0.0,19.52,8.02,0.22995138888888889
CB07,2015-02-20,0.0,21.23,12.27,0.23064583333333333
CB07,2015-02-21,0.0,23.67,14.81,0.2302261904761905
CB07,2015-02-22,1.25,15.32,9.83,0.22510714285714287
CB07,2015-02-23,0.0,9.21,3.96,0.2187916666666667
CB07,2015-02-24,2.5300000000000002,6.11,2.85,0.21762499999999999
CB07,2015-02-25,0.76,15.86,3.98,0.22265625
CB07,2015-02-26,0.0,8.79,5.09,0.22307291666666665
CB07,2015-02-27,0.0,4.78,2.94,0.22104166666666666
CB07,2015-02-28,0.0,3.48,2.31,0.2217083333333333
CB07,2015-03-01,6.33,7.18,2.84,0.2480625
CB07,2015-03-02,1.25,7.18,4.25,0.28029166666666666
CB07,2015-03-03,1.0,15.81,6.03,0.2823833333333333
CB07,2015-03-04,2.52,15.5,8.09,0.28386666666666666
CB07,2015-03-05,11.42,13.42,3.56,0.3098690476190476
CB07,2015-03-06,0.0,15.3,2.66,0.2848184523809524
CB07,2015-03-07,0.0,16.17,5.65,0.27542261904761905
CB07,2015-03-08,1.26,12.16,9.02,0.2708690476190476
CB07,2015-03-09,11.16,12.43,10.6,0.3009375
CB07,2015-03-10,0.25,16.21,10.39,0.30447916666666663
CB07,2015-03-11,0.0,13.81,8.63,0.2925833333333333
CB07,2015-03-12,0.0,20.28,7.38,0.28691666666666665
CB07,2015-03-13,0.0,21.46,9.23,0.2760416666666667
