========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:17
========================================
"TOA5","CR1000_6","CR1000","65795","CR1000.Std.32.05","CPU:CR1000_6_v2.CR1","12214","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2017-01-30 13:00:00",0,0,21.99,11.18,2.962,261.4,746.5,0.163,0
"2017-01-30 14:00:00",1,0,22.56,11.79,3.078,277.6,730.3,0.571,2.235
"2017-01-30 15:00:00",2,0,22.9,10.98,2.838,281.4,644.4,0.512,1.721
"2017-01-30 16:00:00",3,0,23.33,11.48,2.973,265.5,498.3,0.432,1.036
"2017-01-30 17:00:00",4,0,23.27,12.39,2.675,249.7,305,0.293,0.293
"2017-01-30 18:00:00",5,0,21.78,18.02,1.375,245.8,98,0.067,0
"2017-01-30 19:00:00",6,0,13.39,48.75,0.526,263.7,0.227,-0.011,0
"2017-01-30 20:00:00",7,0,8.75,49.25,1.31,249.9,0,0.006,0
"2017-01-30 21:00:00",8,0,7.063,54.21,1.408,229.7,0,0.006,0
"2017-01-30 22:00:00",9,0,8.52,43.58,0.956,231.7,0,0,0
"2017-01-30 23:00:00",10,0,8.23,48.23,1.175,262.2,0,0.006,0
"2017-01-31 00:00:00",11,0,7.311,45.51,1.089,233.1,0,0.003,0
"2017-01-31 01:00:00",12,0,6.916,46.69,0.906,215.2,0,-0.002,0
"2017-01-31 02:00:00",13,0,8.55,39.58,0.776,267.7,0,-0.003,0
"2017-01-31 03:00:00",14,0,8.62,38.9,1.058,267.4,0,0.005,0
"2017-01-31 04:00:00",15,0,9.41,39.57,1.656,269.6,0,0.02,0
"2017-01-31 05:00:00",16,0,7.476,49.22,1.034,249.4,0,0.003,0
"2017-01-31 06:00:00",17,0,8.25,38.7,1.409,256.7,0,0.012,0
"2017-01-31 07:00:00",18,0,9.18,42.2,1.886,265,0,0.023,0
"2017-01-31 08:00:00",19,0,8.95,38.32,2.234,270,11.55,0.077,0.566
"2017-01-31 09:00:00",20,0,13,31.56,2.684,246.7,188.2,0.18,1.297
"2017-01-31 10:00:00",21,0,16.2,28.05,3.207,232.2,396.8,0.312,1.914
"2017-01-31 11:00:00",22,0,18.69,23.76,4.183,219.5,573.8,0.45,2.343
"2017-01-31 12:00:00",23,0,20.64,20.6,4.534,216,694.6,0.549,2.545
"2017-01-31 13:00:00",24,0,22.5,18.34,4.055,205.8,748,0.598,2.5
"2017-01-31 14:00:00",25,0,23.7,17.49,3.681,215.1,731.4,0.598,2.213
"2017-01-31 15:00:00",26,0,24.1,16.25,3.695,202.5,647.1,0.554,1.708
"2017-01-31 16:00:00",27,0,24.16,17.12,3.765,202,498.8,0.467,1.031
"2017-01-31 17:00:00",28,0,23.96,17.46,3.39,200,305,0.328,0.299
"2017-01-31 18:00:00",29,0,22.46,22.21,2.398,186.3,99.3,0.103,0
"2017-01-31 19:00:00",30,0,18.57,29.03,1.124,162.4,0.793,0.018,0
"2017-01-31 20:00:00",31,0,13.75,49.63,0.789,238.3,0,-0.002,0
"2017-01-31 21:00:00",32,0,10.21,48.02,1.039,239.2,0,0,0
"2017-01-31 22:00:00",33,0,11.12,48.06,1.125,252.5,0,0.004,0
"2017-01-31 23:00:00",34,0,11.9,41.62,1.106,244.1,0,0.005,0
"2017-02-01 00:00:00",35,0,13.31,41.62,0.88,236.5,0,0,0
"2017-02-01 01:00:00",36,0,13.32,47.71,1.451,225.6,0,0.015,0
"2017-02-01 02:00:00",37,0,14.38,54.35,3.128,214.2,0,0.039,0
"2017-02-01 03:00:00",38,0,13.87,61.16,2.864,222.1,0,0.028,0
"2017-02-01 04:00:00",39,0,12.4,64.5,2.121,245.6,0,0.012,0
"2017-02-01 05:00:00",40,0,12.06,68.08,2.3,257.1,0,0.013,0
"2017-02-01 06:00:00",41,0,11.63,68.75,2.242,267.5,0,0.01,0
