========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:19
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,T_5,T_10,T_20,Flag
2016-02-15 12:00:00,0.00,0.164,0.227,0.271,12.95,10.10,9.74,0
2016-02-15 13:00:00,0.00,0.232,0.317,0.377,19.73,15.02,13.64,0
2016-02-15 14:00:00,0.00,0.238,0.321,0.378,22.31,16.86,14.08,0
2016-02-15 15:00:00,0.00,0.241,0.324,0.379,23.99,18.40,14.74,0
2016-02-15 16:00:00,0.00,0.240,0.326,0.381,23.87,19.53,15.51,0
2016-02-15 17:00:00,0.00,0.234,0.326,0.382,21.34,19.50,16.21,0
2016-02-15 18:00:00,0.00,0.230,0.324,0.384,19.54,18.87,16.63,0
2016-02-15 19:00:00,0.00,0.226,0.323,0.384,17.92,18.14,16.79,0
2016-02-15 20:00:00,0.00,0.222,0.321,0.384,16.29,17.32,16.76,0
2016-02-15 21:00:00,0.00,0.219,0.319,0.383,14.86,16.46,16.60,0
2016-02-15 22:00:00,0.00,0.216,0.317,0.383,13.70,15.65,16.34,0
2016-02-15 23:00:00,0.00,0.214,0.315,0.382,12.73,14.92,16.01,0
2016-02-16 00:00:00,0.00,0.212,0.313,0.381,11.91,14.25,15.67,0
2016-02-16 01:00:00,0.00,0.210,0.312,0.380,11.24,13.67,15.31,0
2016-02-16 02:00:00,0.00,0.209,0.310,0.379,10.68,13.15,14.95,0
2016-02-16 03:00:00,0.00,0.207,0.309,0.378,10.16,12.68,14.62,0
2016-02-16 04:00:00,0.00,0.206,0.308,0.377,9.70,12.24,14.29,0
2016-02-16 05:00:00,0.00,0.206,0.307,0.377,9.36,11.86,13.97,0
2016-02-16 06:00:00,0.00,0.205,0.306,0.376,9.22,11.55,13.69,0
2016-02-16 07:00:00,0.00,0.205,0.305,0.375,9.43,11.36,13.42,0
2016-02-16 08:00:00,0.00,0.205,0.305,0.374,9.50,11.28,13.20,0
2016-02-16 09:00:00,0.00,0.206,0.304,0.374,9.74,11.22,13.02,0
2016-02-16 10:00:00,0.00,0.207,0.304,0.373,10.50,11.32,12.87,0
2016-02-16 11:00:00,0.00,0.211,0.305,0.373,12.20,11.68,12.78,0
2016-02-16 12:00:00,0.00,0.221,0.307,0.373,16.72,12.90,12.80,0
2016-02-16 13:00:00,0.00,0.231,0.312,0.373,20.91,15.04,13.06,0
2016-02-16 14:00:00,0.00,0.238,0.317,0.374,23.97,17.27,13.67,2097152
2016-02-16 15:00:00,0.00,0.241,0.321,0.376,25.75,19.09,14.52,2097152
2016-02-16 16:00:00,0.00,0.240,0.323,0.378,25.63,20.33,15.46,2097152
2016-02-16 17:00:00,0.00,0.234,0.323,0.380,23.09,20.43,16.32,0
2016-02-16 18:00:00,0.00,0.230,0.322,0.381,20.99,19.78,16.86,0
2016-02-16 19:00:00,0.00,0.225,0.320,0.382,19.30,19.02,17.09,0
2016-02-16 20:00:00,0.00,0.222,0.318,0.382,17.68,18.20,17.11,0
2016-02-16 21:00:00,0.00,0.219,0.316,0.382,16.42,17.38,16.99,0
2016-02-16 22:00:00,0.00,0.216,0.314,0.381,15.30,16.63,16.76,0
2016-02-16 23:00:00,0.00,0.213,0.313,0.380,14.25,15.93,16.50,0
2016-02-17 00:00:00,0.00,0.211,0.311,0.380,13.35,15.27,16.20,0
2016-02-17 01:00:00,0.00,0.209,0.309,0.379,12.58,14.65,15.87,0
2016-02-17 02:00:00,0.00,0.208,0.308,0.378,11.87,14.10,15.55,0
2016-02-17 03:00:00,0.00,0.206,0.306,0.377,11.21,13.57,15.21,0
2016-02-17 04:00:00,0.00,0.205,0.305,0.376,10.59,13.06,14.89,0
2016-02-17 05:00:00,0.00,0.203,0.304,0.375,10.05,12.61,14.56,0
2016-02-17 06:00:00,0.00,0.202,0.303,0.375,9.61,12.17,14.24,0
2016-02-17 07:00:00,0.00,0.202,0.302,0.374,9.27,11.80,13.96,0
2016-02-17 08:00:00,0.00,0.201,0.301,0.373,9.00,11.48,13.67,0
2016-02-17 09:00:00,0.00,0.201,0.300,0.372,9.10,11.22,13.39,0
2016-02-17 10:00:00,0.00,0.202,0.299,0.371,9.81,11.20,13.17,0
2016-02-17 11:00:00,0.00,0.206,0.300,0.371,11.45,11.45,12.99,0
2016-02-17 12:00:00,0.00,0.215,0.302,0.370,15.72,12.56,12.93,0
2016-02-17 13:00:00,0.00,0.224,0.306,0.371,19.58,14.52,13.13,0
2016-02-17 14:00:00,0.00,0.231,0.311,0.372,22.45,16.56,13.64,0
2016-02-17 15:00:00,0.00,0.235,0.315,0.373,24.33,18.30,14.39,0
2016-02-17 16:00:00,0.00,0.234,0.318,0.375,24.42,19.54,15.24,0
2016-02-17 17:00:00,0.00,0.228,0.318,0.377,21.95,19.66,16.04,0
2016-02-17 18:00:00,0.00,0.224,0.316,0.378,20.17,19.09,16.56,0
2016-02-17 19:00:00,0.00,0.221,0.314,0.379,18.83,18.45,16.78,0
2016-02-17 20:00:00,0.00,0.218,0.313,0.379,17.51,17.80,16.82,0
2016-02-17 21:00:00,0.00,0.215,0.311,0.379,16.42,17.13,16.73,0
2016-02-17 22:00:00,0.00,0.213,0.310,0.378,15.56,16.51,16.56,0
2016-02-17 23:00:00,0.00,0.211,0.308,0.378,15.01,16.00,16.35,0
2016-02-18 00:00:00,0.00,0.210,0.307,0.377,14.57,15.59,16.12,0
2016-02-18 01:00:00,0.00,0.209,0.306,0.376,14.08,15.22,15.90,0
2016-02-18 02:00:00,0.00,0.208,0.305,0.376,13.68,14.87,15.68,0
2016-02-18 03:00:00,0.00,0.207,0.304,0.375,13.43,14.57,15.46,0
2016-02-18 04:00:00,0.00,0.206,0.304,0.375,13.19,14.33,15.27,0
2016-02-18 05:00:00,0.00,0.206,0.303,0.374,12.94,14.09,15.08,0
2016-02-18 06:00:00,0.00,0.205,0.302,0.374,12.78,13.90,14.91,0
2016-02-18 07:00:00,0.00,0.205,0.302,0.373,12.63,13.73,14.75,0
2016-02-18 08:00:00,0.00,0.204,0.301,0.373,12.59,13.57,14.60,0
2016-02-18 09:00:00,0.00,0.205,0.301,0.372,12.97,13.53,14.46,0
2016-02-18 10:00:00,0.00,0.206,0.301,0.372,13.53,13.67,14.36,0
2016-02-18 11:00:00,0.00,0.209,0.301,0.372,14.54,13.90,14.32,0
2016-02-18 12:00:00,0.00,0.216,0.303,0.372,18.08,14.78,14.35,0
2016-02-18 13:00:00,0.00,0.224,0.307,0.372,21.41,16.46,14.56,0
2016-02-18 14:00:00,0.00,0.229,0.311,0.373,24.07,18.21,15.05,0
2016-02-18 15:00:00,0.00,0.232,0.314,0.374,25.63,19.76,15.75,2097152
2016-02-18 16:00:00,0.00,0.231,0.317,0.376,25.45,20.82,16.52,0
2016-02-18 17:00:00,0.00,0.226,0.316,0.378,23.27,20.85,17.22,0
2016-02-18 18:00:00,0.00,0.222,0.315,0.379,21.64,20.33,17.68,0
2016-02-18 19:00:00,0.00,0.219,0.313,0.379,20.38,19.72,17.87,0
2016-02-18 20:00:00,0.00,0.217,0.312,0.379,19.28,19.14,17.91,0
2016-02-18 21:00:00,0.00,0.214,0.311,0.379,18.43,18.58,17.83,0
2016-02-18 22:00:00,0.00,0.213,0.309,0.379,17.78,18.09,17.69,0
2016-02-18 23:00:00,0.00,0.211,0.308,0.378,17.25,17.67,17.51,0
2016-02-19 00:00:00,0.00,0.210,0.307,0.378,16.76,17.29,17.33,0
2016-02-19 01:00:00,0.00,0.209,0.306,0.377,16.35,16.95,17.14,0
2016-02-19 02:00:00,0.00,0.208,0.305,0.377,15.98,16.64,16.95,0
2016-02-19 03:00:00,0.00,0.207,0.305,0.376,15.62,16.36,16.78,0
2016-02-19 04:00:00,0.00,0.206,0.304,0.376,15.23,16.06,16.60,0
2016-02-19 05:00:00,0.00,0.205,0.303,0.375,14.94,15.81,16.42,0
2016-02-19 06:00:00,0.00,0.205,0.302,0.375,14.82,15.59,16.24,0
2016-02-19 07:00:00,0.00,0.205,0.302,0.374,15.12,15.50,16.09,0
2016-02-19 08:00:00,0.00,0.206,0.302,0.374,15.35,15.53,15.96,0
2016-02-19 09:00:00,0.00,0.206,0.302,0.374,15.55,15.58,15.90,0
2016-02-19 10:00:00,0.00,0.207,0.302,0.373,15.96,15.68,15.84,0
2016-02-19 11:00:00,0.00,0.208,0.303,0.373,16.77,15.92,15.83,0
2016-02-19 12:00:00,0.00,0.211,0.303,0.373,17.91,16.36,15.89,0
2016-02-19 13:00:00,0.00,0.216,0.305,0.373,20.49,17.15,16.01,0
2016-02-19 14:00:00,0.00,0.223,0.308,0.374,23.72,18.61,16.30,2097152
2016-02-19 15:00:00,0.00,0.227,0.312,0.375,25.61,20.13,16.79,2097152
2016-02-19 16:00:00,0.00,0.227,0.314,0.376,25.93,21.27,17.43,2097152
2016-02-19 17:00:00,0.00,0.223,0.314,0.378,23.87,21.44,18.09,2097152
2016-02-19 18:00:00,0.00,0.219,0.313,0.379,22.30,20.96,18.51,2097152
2016-02-19 19:00:00,0.00,0.216,0.311,0.379,21.02,20.41,18.69,2097152
2016-02-19 20:00:00,0.00,0.213,0.310,0.379,19.61,19.78,18.72,0
2016-02-19 21:00:00,0.00,0.210,0.308,0.379,18.41,19.08,18.61,0
2016-02-19 22:00:00,0.00,0.208,0.307,0.378,17.45,18.42,18.42,0
2016-02-19 23:00:00,0.00,0.206,0.305,0.378,16.81,17.84,18.18,0
2016-02-20 00:00:00,0.00,0.207,0.304,0.377,17.16,17.52,17.93,0
2016-02-20 01:00:00,0.00,0.208,0.304,0.376,17.61,17.52,17.71,0
2016-02-20 02:00:00,0.00,0.208,0.304,0.376,17.79,17.57,17.58,0
2016-02-20 03:00:00,0.00,0.208,0.304,0.376,17.79,17.59,17.49,0
2016-02-20 04:00:00,0.00,0.208,0.304,0.376,17.73,17.56,17.44,0
2016-02-20 05:00:00,0.00,0.208,0.304,0.375,17.68,17.51,17.39,0
2016-02-20 06:00:00,0.00,0.207,0.304,0.375,17.62,17.47,17.34,0
2016-02-20 07:00:00,0.00,0.207,0.303,0.375,17.57,17.41,17.31,0
2016-02-20 08:00:00,0.00,0.207,0.303,0.375,17.50,17.36,17.27,0
