========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:21
========================================
"TOA5","CR1000_3","CR1000","65791","CR1000.Std.27","CPU:CR1000_3.CR1","35320","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m^2"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETsz","RSo"
"2016-04-25 13:00:00",0,0,26.49,66.05,3.066,179.8,937,0.281,1.162
"2016-04-25 14:00:00",1,0,27.57,65.58,3.202,177,849,0.615,2.996
"2016-04-25 15:00:00",2,0,28.43,59.37,2.995,181.2,809,0.603,2.454
"2016-04-25 16:00:00",3,0,29.38,60.52,3.024,183.2,788.9,0.608,1.762
"2016-04-25 17:00:00",4,0,29.74,59.81,3.195,183.7,646.9,0.52,0.99
"2016-04-25 18:00:00",5,0,29.93,58.73,3.217,172.7,482.3,0.409,0.258
"2016-04-25 19:00:00",6,0,29.49,61.83,2.837,164.8,156.3,0.102,0
"2016-04-25 20:00:00",7,0,27.97,67.97,2.795,158.3,42.61,0.057,0
"2016-04-25 21:00:00",8,0,26.15,54.62,2.729,173.3,3.209,0.045,0
"2016-04-25 22:00:00",9,0,23.11,84.8,1.923,168.5,0,0.013,0
"2016-04-25 23:00:00",10,0,22.48,89.3,1.84,174.4,0,-0.005,0
"2016-04-26 00:00:00",11,0,22.46,88.2,2.975,171.2,0,0.003,0
"2016-04-26 01:00:00",12,0,21.83,94.2,2.695,179.4,0,-0.003,0
"2016-04-26 02:00:00",13,0,21.37,94.8,2.49,177.9,0,-0.01,0
"2016-04-26 03:00:00",14,0,21.29,89.2,2.551,176.3,0,-0.004,0
"2016-04-26 04:00:00",15,0,21.02,86.7,2.48,175.7,0.407,-0.001,0
"2016-04-26 05:00:00",16,0,20.66,86.7,2.399,180.9,0,0,0
"2016-04-26 06:00:00",17,0,20.47,87.5,2.602,184.5,0,0.026,0.253
"2016-04-26 07:00:00",18,0,20.45,85.9,2.73,182.3,0.244,0.028,0.992
"2016-04-26 08:00:00",19,0,20.5,82.2,2.739,185,29.46,0.05,1.776
"2016-04-26 09:00:00",20,0,20.91,80.9,2.854,191.6,105.2,0.101,2.476
"2016-04-26 10:00:00",21,0,22.18,71.62,3.775,193.5,354.2,0.263,3.024
"2016-04-26 11:00:00",22,0,23.52,68.82,4.123,190.7,522.6,0.38,3.37
"2016-04-26 12:00:00",23,0,25.1,69.05,3.965,187.1,896,0.611,3.484
"2016-04-26 13:00:00",24,0,25.97,65.64,4.327,186.6,963,0.665,3.363
"2016-04-26 14:00:00",25,0,26.22,68.88,4.276,186.4,708.3,0.52,3.016
"2016-04-26 15:00:00",26,0,26.25,63.45,3.932,187.1,551.6,0.422,2.473
