========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:22
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag
2014-11-11 15:00:00,10.92,0.340,0.257,0.174,0.093,17.05,16.32,15.69,17.08,0
2014-11-11 16:00:00,0.00,0.357,0.270,0.182,0.098,18.20,17.14,16.48,18.07,0
2014-11-11 17:00:00,0.00,0.357,0.272,0.183,0.098,18.22,17.32,16.61,18.26,0
2014-11-11 18:00:00,0.76,0.355,0.273,0.183,0.097,17.97,17.42,16.78,18.39,0
2014-11-11 19:00:00,0.00,0.342,0.272,0.184,0.098,16.57,17.12,16.91,18.49,0
2014-11-11 20:00:00,0.00,0.341,0.272,0.184,0.098,15.18,16.41,16.96,18.55,0
2014-11-11 21:00:00,0.00,0.339,0.272,0.184,0.098,14.09,15.65,16.87,18.60,0
2014-11-11 22:00:00,0.00,0.338,0.271,0.184,0.098,13.22,14.95,16.67,18.64,0
2014-11-11 23:00:00,0.00,0.337,0.271,0.184,0.098,12.49,14.34,16.42,18.68,0
2014-11-12 00:00:00,0.00,0.336,0.270,0.184,0.098,11.86,13.79,16.15,18.71,0
2014-11-12 01:00:00,0.00,0.335,0.269,0.184,0.098,11.28,13.27,15.86,18.73,0
2014-11-12 02:00:00,0.00,0.334,0.268,0.184,0.098,10.75,12.78,15.57,18.74,0
2014-11-12 03:00:00,0.00,0.333,0.267,0.184,0.098,10.24,12.33,15.28,18.74,0
2014-11-12 04:00:00,0.00,0.332,0.266,0.183,0.098,9.78,11.90,14.99,18.74,0
2014-11-12 05:00:00,0.00,0.331,0.266,0.183,0.098,9.32,11.48,14.70,18.73,0
2014-11-12 06:00:00,0.00,0.330,0.265,0.182,0.098,8.90,11.09,14.42,18.70,0
2014-11-12 07:00:00,0.00,0.330,0.264,0.182,0.098,8.48,10.70,14.14,18.68,0
2014-11-12 08:00:00,0.00,0.329,0.264,0.182,0.098,8.09,10.33,13.86,18.64,0
2014-11-12 09:00:00,0.00,0.328,0.263,0.182,0.098,7.72,9.97,13.59,18.60,0
2014-11-12 10:00:00,0.00,0.327,0.262,0.182,0.098,7.52,9.65,13.31,18.57,0
2014-11-12 11:00:00,0.00,0.327,0.262,0.181,0.097,8.08,9.54,13.05,18.51,0
2014-11-12 12:00:00,0.00,0.329,0.263,0.181,0.097,10.04,10.05,12.84,18.45,0
2014-11-12 13:00:00,0.00,0.332,0.264,0.181,0.097,12.35,11.12,12.78,18.38,0
2014-11-12 14:00:00,0.00,0.335,0.266,0.181,0.097,14.48,12.43,12.94,18.32,0
2014-11-12 15:00:00,0.00,0.339,0.267,0.181,0.097,16.30,13.77,13.25,18.25,0
2014-11-12 16:00:00,0.00,0.340,0.269,0.181,0.097,16.85,14.83,13.70,18.18,0
2014-11-12 17:00:00,0.00,0.339,0.269,0.181,0.097,15.94,15.12,14.16,18.10,0
2014-11-12 18:00:00,0.00,0.339,0.269,0.181,0.097,15.08,14.95,14.51,18.04,0
2014-11-12 19:00:00,0.00,0.338,0.269,0.182,0.097,14.25,14.62,14.71,17.98,0
2014-11-12 20:00:00,0.00,0.337,0.268,0.182,0.097,13.41,14.20,14.79,17.93,0
2014-11-12 21:00:00,0.00,0.336,0.268,0.182,0.097,12.63,13.72,14.78,17.89,0
2014-11-12 22:00:00,0.00,0.335,0.267,0.181,0.097,12.05,13.27,14.70,17.86,0
2014-11-12 23:00:00,0.00,0.334,0.267,0.181,0.097,11.54,12.85,14.56,17.84,0
2014-11-13 00:00:00,0.00,0.333,0.266,0.181,0.097,11.04,12.47,14.40,17.82,0
2014-11-13 01:00:00,0.00,0.332,0.266,0.181,0.097,10.56,12.09,14.22,17.80,0
2014-11-13 02:00:00,0.00,0.331,0.265,0.180,0.097,10.13,11.71,14.03,17.78,0
2014-11-13 03:00:00,0.00,0.331,0.264,0.180,0.097,9.71,11.36,13.82,17.78,0
2014-11-13 04:00:00,0.00,0.330,0.264,0.180,0.097,9.30,11.01,13.62,17.74,0
2014-11-13 05:00:00,0.00,0.329,0.263,0.180,0.097,8.88,10.65,13.42,17.73,0
2014-11-13 06:00:00,0.00,0.328,0.262,0.180,0.097,8.50,10.32,13.20,17.70,0
2014-11-13 07:00:00,0.00,0.328,0.262,0.180,0.097,8.18,10.00,12.98,17.66,0
2014-11-13 08:00:00,0.00,0.327,0.261,0.179,0.097,7.89,9.70,12.75,17.63,0
2014-11-13 09:00:00,0.00,0.327,0.261,0.179,0.097,7.64,9.44,12.54,17.59,0
2014-11-13 10:00:00,0.00,0.326,0.260,0.179,0.097,7.47,9.21,12.33,17.55,0
2014-11-13 11:00:00,0.00,0.326,0.260,0.179,0.096,7.76,9.11,12.13,17.50,0
2014-11-13 12:00:00,0.00,0.327,0.260,0.179,0.096,8.69,9.31,11.96,17.45,0
2014-11-13 13:00:00,0.00,0.328,0.261,0.179,0.096,9.78,9.82,11.88,17.40,0
2014-11-13 14:00:00,0.00,0.329,0.261,0.179,0.096,10.76,10.41,11.91,17.34,0
2014-11-13 15:00:00,0.00,0.331,0.262,0.179,0.096,11.65,11.04,12.01,17.29,0
2014-11-13 16:00:00,0.00,0.332,0.262,0.178,0.096,12.22,11.58,12.18,17.22,0
2014-11-13 17:00:00,0.00,0.332,0.263,0.178,0.096,12.60,12.02,12.39,17.17,0
2014-11-13 18:00:00,0.00,0.332,0.264,0.178,0.096,12.45,12.26,12.59,17.10,0
2014-11-13 19:00:00,0.00,0.331,0.263,0.178,0.096,11.82,12.19,12.77,17.05,0
2014-11-13 20:00:00,0.00,0.330,0.263,0.178,0.096,10.91,11.87,12.87,17.00,0
2014-11-13 21:00:00,0.00,0.329,0.262,0.178,0.096,9.93,11.35,12.86,16.94,0
2014-11-13 22:00:00,0.00,0.328,0.262,0.178,0.096,9.08,10.77,12.78,16.92,0
2014-11-13 23:00:00,0.00,0.327,0.261,0.178,0.096,8.35,10.21,12.61,16.87,0
2014-11-14 00:00:00,0.00,0.326,0.260,0.178,0.096,7.74,9.71,12.40,16.85,0
2014-11-14 01:00:00,0.00,0.325,0.260,0.178,0.096,7.17,9.24,12.15,16.82,0
2014-11-14 02:00:00,0.00,0.324,0.259,0.177,0.096,6.69,8.80,11.91,16.79,0
2014-11-14 03:00:00,0.00,0.323,0.258,0.177,0.096,6.28,8.39,11.66,16.75,0
2014-11-14 04:00:00,0.00,0.322,0.257,0.177,0.096,6.24,8.10,11.40,16.73,0
2014-11-14 05:00:00,0.00,0.322,0.257,0.176,0.096,6.33,7.97,11.18,16.69,0
2014-11-14 06:00:00,0.00,0.322,0.257,0.177,0.096,6.36,7.91,10.98,16.65,0
2014-11-14 07:00:00,0.00,0.322,0.257,0.177,0.096,6.31,7.83,10.82,16.60,0
2014-11-14 08:00:00,0.00,0.322,0.257,0.177,0.096,6.24,7.74,10.69,16.54,0
2014-11-14 09:00:00,0.00,0.322,0.257,0.177,0.096,6.17,7.64,10.55,16.49,0
2014-11-14 10:00:00,0.00,0.322,0.256,0.176,0.095,6.25,7.58,10.44,16.44,0
2014-11-14 11:00:00,0.00,0.322,0.256,0.176,0.095,6.68,7.66,10.33,16.38,0
2014-11-14 12:00:00,0.00,0.323,0.257,0.176,0.095,7.53,7.95,10.27,16.33,0
2014-11-14 13:00:00,0.00,0.324,0.257,0.176,0.095,8.51,8.45,10.27,16.26,0
2014-11-14 14:00:00,0.00,0.326,0.258,0.176,0.095,9.84,9.13,10.36,16.20,0
2014-11-14 15:00:00,0.00,0.328,0.259,0.176,0.095,11.28,10.02,10.53,16.13,0
2014-11-14 16:00:00,0.00,0.330,0.260,0.176,0.095,12.45,10.94,10.80,16.09,0
2014-11-14 17:00:00,0.00,0.331,0.261,0.176,0.096,12.90,11.68,11.14,16.02,0
2014-11-14 18:00:00,0.00,0.331,0.262,0.176,0.096,12.60,11.99,11.50,15.96,0
2014-11-14 19:00:00,0.00,0.330,0.262,0.176,0.096,11.99,11.97,11.79,15.91,0
2014-11-14 20:00:00,0.00,0.329,0.261,0.176,0.096,11.24,11.70,11.99,15.87,0
2014-11-14 21:00:00,0.00,0.328,0.261,0.176,0.095,10.59,11.35,12.08,15.83,0
2014-11-14 22:00:00,0.00,0.327,0.261,0.176,0.095,10.10,11.00,12.07,15.80,0
2014-11-14 23:00:00,0.00,0.327,0.260,0.176,0.095,9.71,10.70,12.02,15.78,0
2014-11-15 00:00:00,0.00,0.326,0.260,0.176,0.095,9.41,10.45,11.94,15.76,0
2014-11-15 01:00:00,0.00,0.326,0.259,0.176,0.094,9.15,10.23,11.86,15.76,0
2014-11-15 02:00:00,0.00,0.325,0.259,0.176,0.094,8.93,10.01,11.76,15.74,0
2014-11-15 03:00:00,0.00,0.325,0.259,0.176,0.094,8.69,9.81,11.66,15.73,0
2014-11-15 04:00:00,0.00,0.324,0.258,0.176,0.094,8.20,9.55,11.55,15.73,0
2014-11-15 05:00:00,0.00,0.323,0.258,0.175,0.094,7.69,9.22,11.42,15.71,0
2014-11-15 06:00:00,0.00,0.323,0.257,0.175,0.094,7.56,8.92,11.27,15.70,0
2014-11-15 07:00:00,0.00,0.323,0.257,0.175,0.094,7.62,8.81,11.12,15.68,0
2014-11-15 08:00:00,0.00,0.323,0.257,0.175,0.094,7.62,8.75,10.99,15.66,0
2014-11-15 09:00:00,0.00,0.323,0.257,0.175,0.094,7.69,8.71,10.89,15.64,0
2014-11-15 10:00:00,0.00,0.323,0.257,0.175,0.094,7.90,8.72,10.81,15.61,0
2014-11-15 11:00:00,0.00,0.323,0.257,0.174,0.094,8.46,8.89,10.74,15.59,0
2014-11-15 12:00:00,0.00,0.324,0.257,0.174,0.094,9.29,9.26,10.73,15.56,0
2014-11-15 13:00:00,0.00,0.325,0.258,0.174,0.094,10.18,9.77,10.78,15.53,0
2014-11-15 14:00:00,0.00,0.326,0.259,0.174,0.094,10.95,10.33,10.90,15.49,0
2014-11-15 15:00:00,0.00,0.328,0.259,0.174,0.094,11.65,10.87,11.09,15.46,0
2014-11-15 16:00:00,0.00,0.328,0.260,0.174,0.094,12.18,11.38,11.31,15.43,0
2014-11-15 17:00:00,0.00,0.329,0.261,0.174,0.094,12.52,11.79,11.56,15.40,0
2014-11-15 18:00:00,0.00,0.329,0.261,0.174,0.094,12.61,12.08,11.79,15.37,0
2014-11-15 19:00:00,0.00,0.329,0.261,0.175,0.094,12.47,12.19,12.00,15.34,0
2014-11-15 20:00:00,0.00,0.329,0.261,0.175,0.094,12.16,12.17,12.17,15.31,0
2014-11-15 21:00:00,0.00,0.329,0.261,0.175,0.094,11.89,12.08,12.30,15.31,0
2014-11-15 22:00:00,0.00,0.328,0.261,0.175,0.094,11.74,11.98,12.36,15.29,0
2014-11-15 23:00:00,0.00,0.328,0.261,0.175,0.094,11.64,11.91,12.41,15.29,0
2014-11-16 00:00:00,0.00,0.328,0.261,0.175,0.094,11.57,11.85,12.43,15.29,0
2014-11-16 01:00:00,0.00,0.328,0.261,0.175,0.094,11.50,11.81,12.45,15.30,0
2014-11-16 02:00:00,0.00,0.328,0.260,0.175,0.094,11.40,11.77,12.45,15.30,0
2014-11-16 03:00:00,0.00,0.327,0.260,0.174,0.094,11.31,11.72,12.46,15.31,0
2014-11-16 04:00:00,0.00,0.327,0.260,0.174,0.094,11.21,11.66,12.46,15.33,0
2014-11-16 05:00:00,0.00,0.328,0.260,0.174,0.094,11.11,11.58,12.45,15.32,0
2014-11-16 06:00:00,0.00,0.327,0.260,0.174,0.094,11.00,11.51,12.43,15.34,0
2014-11-16 07:00:00,0.00,0.327,0.260,0.174,0.094,10.88,11.43,12.41,15.34,0
2014-11-16 08:00:00,0.00,0.327,0.260,0.174,0.094,10.79,11.35,12.39,15.35,0
2014-11-16 09:00:00,0.00,0.326,0.260,0.174,0.094,10.64,11.27,12.36,15.34,0
2014-11-16 10:00:00,0.00,0.326,0.259,0.174,0.094,10.72,11.20,12.32,15.35,0
2014-11-16 11:00:00,0.00,0.327,0.260,0.174,0.094,11.14,11.31,12.28,15.35,0
2014-11-16 12:00:00,0.00,0.328,0.260,0.174,0.093,11.95,11.61,12.29,15.35,131072
2014-11-16 13:00:00,0.00,0.330,0.261,0.174,0.093,13.47,12.23,12.35,15.34,131072
2014-11-16 14:00:00,0.00,0.332,0.262,0.174,0.093,15.15,13.23,12.52,15.35,139264
2014-11-16 15:00:00,0.00,0.334,0.264,0.174,0.093,16.55,14.26,12.83,15.35,139776
2014-11-16 16:00:00,0.00,0.334,0.265,0.174,0.093,16.46,14.96,13.23,15.35,131584
2014-11-16 17:00:00,0.00,0.334,0.265,0.175,0.093,15.63,14.98,13.62,15.35,131072
2014-11-16 18:00:00,0.00,0.333,0.265,0.175,0.094,14.96,14.77,13.88,15.35,0
2014-11-16 19:00:00,0.00,0.332,0.264,0.175,0.094,14.12,14.41,14.02,15.36,0
2014-11-16 20:00:00,0.00,0.331,0.263,0.175,0.094,13.18,13.92,14.05,15.37,0
2014-11-16 21:00:00,0.00,0.329,0.263,0.175,0.094,12.09,13.31,14.01,15.39,0
2014-11-16 22:00:00,0.00,0.328,0.262,0.175,0.094,11.15,12.64,13.86,15.41,0
2014-11-16 23:00:00,0.00,0.326,0.261,0.174,0.094,10.43,12.02,13.66,15.44,0
2014-11-17 00:00:00,0.00,0.325,0.260,0.174,0.094,9.74,11.46,13.42,15.47,0
2014-11-17 01:00:00,0.00,0.324,0.259,0.174,0.094,9.17,10.94,13.15,15.49,0
2014-11-17 02:00:00,0.00,0.323,0.258,0.174,0.094,8.51,10.44,12.89,15.52,0
2014-11-17 03:00:00,0.00,0.322,0.257,0.174,0.094,7.92,9.92,12.60,15.54,0
2014-11-17 04:00:00,0.00,0.321,0.257,0.173,0.094,7.38,9.44,12.31,15.55,0
2014-11-17 05:00:00,0.00,0.320,0.256,0.173,0.094,6.86,8.97,12.01,15.55,0
2014-11-17 06:00:00,0.00,0.319,0.255,0.173,0.094,6.52,8.57,11.71,15.56,0
2014-11-17 07:00:00,0.00,0.318,0.254,0.173,0.094,6.06,8.19,11.42,15.55,0
2014-11-17 08:00:00,0.00,0.317,0.254,0.173,0.094,5.51,7.78,11.14,15.53,0
2014-11-17 09:00:00,0.00,0.316,0.253,0.172,0.094,5.01,7.34,10.86,15.51,0
2014-11-17 10:00:00,0.00,0.316,0.252,0.172,0.094,4.68,6.93,10.56,15.48,0
2014-11-17 11:00:00,0.00,0.316,0.252,0.172,0.094,5.16,6.74,10.27,15.45,0
2014-11-17 12:00:00,0.00,0.318,0.252,0.172,0.094,7.25,7.23,10.05,15.40,0
2014-11-17 13:00:00,0.00,0.321,0.254,0.172,0.094,9.87,8.41,9.98,15.36,0
2014-11-17 14:00:00,0.00,0.325,0.256,0.172,0.094,12.39,9.91,10.12,15.31,0
2014-11-17 15:00:00,0.00,0.327,0.258,0.172,0.093,14.34,11.41,10.47,15.25,0
2014-11-17 16:00:00,0.00,0.329,0.259,0.172,0.093,15.07,12.61,10.96,15.19,0
2014-11-17 17:00:00,0.00,0.329,0.260,0.172,0.093,14.93,13.09,11.50,15.12,0
2014-11-17 18:00:00,0.00,0.329,0.261,0.172,0.093,14.78,13.40,11.94,15.08,0
2014-11-17 19:00:00,0.00,0.328,0.261,0.172,0.093,13.27,13.19,12.28,15.03,0
2014-11-17 20:00:00,0.00,0.326,0.260,0.172,0.093,11.68,12.52,12.48,14.99,0
2014-11-17 21:00:00,0.00,0.324,0.259,0.172,0.093,10.38,11.74,12.50,14.96,0
2014-11-17 22:00:00,0.00,0.322,0.257,0.172,0.093,9.35,10.99,12.39,14.94,0
2014-11-17 23:00:00,0.00,0.321,0.257,0.172,0.093,8.59,10.33,12.19,14.93,0
2014-11-18 00:00:00,0.00,0.320,0.256,0.172,0.093,7.93,9.76,11.96,14.93,0
2014-11-18 01:00:00,0.00,0.319,0.255,0.171,0.093,7.39,9.25,11.69,14.94,0
2014-11-18 02:00:00,0.00,0.318,0.254,0.171,0.093,6.99,8.82,11.43,14.93,0
2014-11-18 03:00:00,0.00,0.317,0.254,0.172,0.093,6.69,8.46,11.17,14.93,0
2014-11-18 04:00:00,0.00,0.317,0.253,0.171,0.093,6.39,8.15,10.91,14.93,0
2014-11-18 05:00:00,0.00,0.316,0.252,0.171,0.093,6.20,7.88,10.70,14.92,0
2014-11-18 06:00:00,0.00,0.316,0.252,0.171,0.093,5.95,7.65,10.47,14.90,0
2014-11-18 07:00:00,0.00,0.315,0.252,0.171,0.093,5.53,7.39,10.28,14.88,0
2014-11-18 08:00:00,0.00,0.314,0.251,0.170,0.093,5.03,7.04,10.10,14.85,0
2014-11-18 09:00:00,0.00,0.313,0.250,0.170,0.093,4.49,6.63,9.86,14.83,0
2014-11-18 10:00:00,0.00,0.313,0.249,0.170,0.092,4.17,6.24,9.63,14.80,0
2014-11-18 11:00:00,0.00,0.313,0.249,0.170,0.092,4.78,6.10,9.39,14.75,0
2014-11-18 12:00:00,0.00,0.316,0.250,0.170,0.092,7.20,6.75,9.20,14.72,0
2014-11-18 13:00:00,0.00,0.319,0.252,0.170,0.092,10.10,8.14,9.19,14.67,0
2014-11-18 14:00:00,0.00,0.323,0.254,0.170,0.092,12.72,9.82,9.43,14.62,0
2014-11-18 15:00:00,0.00,0.326,0.256,0.170,0.092,14.86,11.48,9.89,14.57,0
2014-11-18 16:00:00,0.00,0.328,0.258,0.170,0.092,15.74,12.84,10.49,14.51,0
2014-11-18 17:00:00,0.00,0.328,0.259,0.170,0.092,15.42,13.37,11.12,14.47,0
2014-11-18 18:00:00,0.00,0.328,0.260,0.171,0.092,15.24,13.65,11.64,14.41,0
2014-11-18 19:00:00,0.00,0.327,0.260,0.171,0.092,13.81,13.48,12.05,14.38,0
2014-11-18 20:00:00,0.00,0.325,0.259,0.171,0.092,12.30,12.86,12.29,14.35,0
2014-11-18 21:00:00,0.00,0.323,0.258,0.171,0.092,11.02,12.12,12.35,14.33,0
2014-11-18 22:00:00,0.00,0.322,0.257,0.171,0.092,9.98,11.37,12.29,14.33,0
2014-11-18 23:00:00,0.00,0.320,0.256,0.171,0.092,9.13,10.70,12.13,14.34,0
2014-11-19 00:00:00,0.00,0.319,0.255,0.171,0.092,8.44,10.11,11.91,14.35,0
2014-11-19 01:00:00,0.00,0.318,0.254,0.170,0.092,7.85,9.59,11.67,14.37,0
2014-11-19 02:00:00,0.00,0.317,0.254,0.170,0.092,7.35,9.11,11.41,14.38,0
2014-11-19 03:00:00,0.00,0.316,0.252,0.170,0.092,6.86,8.68,11.16,14.40,0
2014-11-19 04:00:00,0.00,0.315,0.252,0.170,0.092,6.45,8.27,10.90,14.42,0
2014-11-19 05:00:00,0.00,0.315,0.252,0.170,0.092,6.09,7.92,10.66,14.43,0
