========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:23
========================================
Date,Ppt,SWC_5,SWC_10,SWC_20,T_5,T_10,T_20,Flag
2016-02-11 17:00:00,0.00,0.106,0.135,0.180,21.08,17.29,13.42,0
2016-02-11 18:00:00,0.00,0.111,0.142,0.189,21.28,18.52,14.42,0
2016-02-11 19:00:00,0.00,0.110,0.142,0.190,19.83,18.45,14.76,0
2016-02-11 20:00:00,0.00,0.109,0.142,0.190,18.50,18.06,15.04,0
2016-02-11 21:00:00,0.00,0.108,0.142,0.190,17.50,17.57,15.24,0
2016-02-11 22:00:00,0.00,0.108,0.142,0.190,16.70,17.09,15.35,0
2016-02-11 23:00:00,0.00,0.108,0.141,0.190,16.06,16.64,15.39,0
2016-02-12 00:00:00,0.00,0.108,0.141,0.190,15.48,16.24,15.38,0
2016-02-12 01:00:00,0.00,0.108,0.141,0.190,14.99,15.85,15.33,0
2016-02-12 02:00:00,0.00,0.108,0.141,0.190,14.54,15.49,15.26,0
2016-02-12 03:00:00,0.00,0.108,0.141,0.189,14.15,15.17,15.18,0
2016-02-12 04:00:00,0.00,0.108,0.141,0.189,13.80,14.87,15.07,0
2016-02-12 05:00:00,0.00,0.107,0.141,0.189,13.42,14.57,14.97,0
2016-02-12 06:00:00,0.00,0.107,0.141,0.189,12.92,14.28,14.87,0
2016-02-12 07:00:00,0.00,0.107,0.141,0.189,12.45,13.94,14.76,0
2016-02-12 08:00:00,0.00,0.107,0.141,0.189,11.99,13.61,14.64,0
2016-02-12 09:00:00,0.00,0.107,0.141,0.189,11.65,13.29,14.51,0
2016-02-12 10:00:00,0.00,0.107,0.140,0.189,12.19,13.06,14.38,0
2016-02-12 11:00:00,0.00,0.108,0.140,0.189,13.86,13.17,14.25,0
2016-02-12 12:00:00,0.00,0.108,0.140,0.189,16.00,13.71,14.14,0
2016-02-12 13:00:00,0.00,0.109,0.139,0.189,18.35,14.60,14.10,0
2016-02-12 14:00:00,0.00,0.109,0.139,0.189,20.36,15.75,14.16,0
2016-02-12 15:00:00,0.00,0.109,0.139,0.188,21.83,16.94,14.31,0
2016-02-12 16:00:00,0.00,0.109,0.138,0.188,22.70,18.01,14.53,0
2016-02-12 17:00:00,0.00,0.108,0.138,0.188,22.83,18.82,14.84,0
2016-02-12 18:00:00,0.00,0.107,0.138,0.188,21.91,19.23,15.17,0
2016-02-12 19:00:00,0.00,0.106,0.139,0.189,20.35,19.11,15.50,0
2016-02-12 20:00:00,0.00,0.105,0.139,0.189,18.93,18.67,15.77,0
2016-02-12 21:00:00,0.00,0.104,0.138,0.189,17.83,18.13,15.94,0
2016-02-12 22:00:00,0.00,0.104,0.139,0.189,16.95,17.59,16.03,0
2016-02-12 23:00:00,0.00,0.104,0.139,0.189,16.21,17.07,16.06,0
2016-02-13 00:00:00,0.00,0.104,0.139,0.189,15.58,16.61,16.01,0
2016-02-13 01:00:00,0.00,0.104,0.138,0.189,15.02,16.19,15.94,8192
2016-02-13 02:00:00,0.00,0.104,0.138,0.189,14.49,15.78,15.85,8192
2016-02-13 03:00:00,0.00,0.104,0.138,0.188,13.99,15.40,15.73,0
