,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Flag,Ppt
2014-11-10 17:00:00,0.267,0.148,0.117,0.125,18.13,17.6,17.48,17.65,0,0.0
2014-11-10 18:00:00,0.296,0.166,0.13,0.14,19.46,19.51,19.31,19.47,0,0.0
2014-11-10 19:00:00,0.295,0.165,0.131,0.14,18.34,19.1,19.18,19.32,0,0.0
2014-11-10 20:00:00,0.294,0.165,0.131,0.139,17.17,18.47,18.98,19.21,0,0.0
2014-11-10 21:00:00,0.293,0.164,0.131,0.139,16.31,17.82,18.68,19.12,0,0.0
2014-11-10 22:00:00,0.293,0.164,0.131,0.139,15.62,17.25,18.35,19.07,0,0.0
2014-11-10 23:00:00,0.292,0.164,0.131,0.14,14.96,16.71,18.02,19.01,0,0.0
2014-11-11 00:00:00,0.291,0.163,0.131,0.14,14.72,16.29,17.7,18.99,0,0.0
2014-11-11 01:00:00,0.291,0.163,0.131,0.14,14.61,16.0,17.39,18.96,0,0.0
2014-11-11 02:00:00,0.291,0.163,0.131,0.14,14.24,15.75,17.14,18.94,0,0.0
2014-11-11 03:00:00,0.29,0.163,0.131,0.14,13.86,15.45,16.92,18.93,0,0.0
2014-11-11 04:00:00,0.29,0.163,0.131,0.14,13.72,15.2,16.69,18.9,0,0.0
2014-11-11 05:00:00,0.289,0.162,0.131,0.14,13.38,14.97,16.49,18.89,0,0.0
2014-11-11 06:00:00,0.289,0.162,0.131,0.14,13.08,14.7,16.3,18.88,0,0.0
2014-11-11 07:00:00,0.29,0.162,0.131,0.14,13.26,14.54,16.1,18.86,0,0.0
2014-11-11 08:00:00,0.289,0.161,0.131,0.14,13.05,14.45,15.95,18.84,0,0.0
2014-11-11 09:00:00,0.288,0.162,0.131,0.14,12.11,14.13,15.81,18.83,2097152,0.0
2014-11-11 10:00:00,0.288,0.161,0.131,0.14,11.51,13.67,15.59,18.81,2097152,0.0
2014-11-11 11:00:00,0.287,0.161,0.131,0.14,11.4,13.32,15.34,18.78,2097152,0.0
2014-11-11 12:00:00,0.288,0.161,0.131,0.14,11.99,13.21,15.12,18.75,2097152,0.0
2014-11-11 13:00:00,0.289,0.161,0.131,0.14,14.0,13.52,14.97,18.72,2097152,0.0
