site_id,ok,soil,met,n_out,hours_inserted,start,end,output,error
CB01,False,CB01.dat,CB01_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\CB01_met.dat
CB04,False,CB04.dat,CB04_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\CB04_met.dat
CB06,False,CB06.dat,CB06_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\CB06_met.dat
CB07,True,CB07.dat,,93555,10823,2014-11-13 13:00:00,2025-07-16 15:00:00,CB07_filled_Data.csv,
CB09,True,CB09.dat,,82417,1909,2016-02-20 15:00:00,2025-07-16 15:00:00,CB09_filled_Data.csv,
CB10,True,CB10.dat,,93069,2758,2014-12-03 18:00:00,2025-07-16 14:00:00,CB10_filled_Data.csv,
CB15,True,CB15.dat,,82465,62165,2014-09-30 11:00:00,2024-02-26 11:00:00,CB15_filled_Data.csv,
CB19,True,CB19.dat,,95260,35303,2014-09-03 12:00:00,2025-07-16 15:00:00,CB19_filled_Data.csv,
CB20,True,CB20.dat,,83658,55234,2014-09-02 18:00:00,2024-03-19 11:00:00,CB20_filled_Data.csv,
CB25,True,CB25.dat,,95237,247,2014-09-04 11:00:00,2025-07-16 15:00:00,CB25_filled_Data.csv,
CB26,True,CB26.dat,,82540,3921,2016-02-15 12:00:00,2025-07-16 15:00:00,CB26_filled_Data.csv,
CB27,True,CB27.dat,,82774,2,2014-10-09 12:00:00,2024-03-19 09:00:00,CB27_filled_Data.csv,
CB31,True,CB31.dat,,94560,1756,2014-10-02 16:00:00,2025-07-16 15:00:00,CB31_filled_Data.csv,
CB32,True,CB32.dat,,79657,1982,2014-11-10 11:00:00,2023-12-12 11:00:00,CB32_filled_Data.csv,
CB33,True,CB33.dat,,93623,6627,2014-11-10 17:00:00,2025-07-16 15:00:00,CB33_filled_Data.csv,
FD02,False,FD02.dat,FD02_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\FD02_met.dat
FD03,False,FD03.dat,FD03_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\FD03_met.dat
FD08,True,FD08.dat,,96005,14361,2014-09-03 15:00:00,2025-08-16 19:00:00,FD08_filled_Data.csv,
FD11,True,FD11.dat,,93574,2,2014-11-12 18:00:00,2025-07-16 15:00:00,FD11_filled_Data.csv,
FD12,True,FD12.dat,,76713,30111,2014-12-03 19:00:00,2023-09-04 03:00:00,FD12_filled_Data.csv,
FD13,True,FD13.dat,,93599,7289,2014-11-11 17:00:00,2025-07-16 15:00:00,FD13_filled_Data.csv,
FD14,True,FD14.dat,,93601,20878,2014-11-11 15:00:00,2025-07-16 15:00:00,FD14_filled_Data.csv,
FD16,True,FD16.dat,,93603,9997,2014-11-11 13:00:00,2025-07-16 15:00:00,FD16_filled_Data.csv,
FD17,True,FD17.dat,,33288,2,2019-11-19 18:00:00,2023-09-06 17:00:00,FD17_filled_Data.csv,
FD18,True,FD18.dat,,82631,1,2016-02-11 17:00:00,2025-07-16 15:00:00,FD18_filled_Data.csv,
FD21,True,FD21.dat,,791,0,2022-06-09 11:00:00,2022-07-12 09:00:00,FD21_filled_Data.csv,
FD22,True,FD22.dat,,82460,6,2014-09-30 14:00:00,2024-02-26 09:00:00,FD22_filled_Data.csv,
FD23,True,FD23.dat,,30955,0,2019-11-19 20:00:00,2023-06-01 14:00:00,FD23_filled_Data.csv,
FD24,True,FD24.dat,,80307,11358,2014-09-02 15:00:00,2023-10-31 17:00:00,FD24_filled_Data.csv,
FD28,True,FD28.dat,,49253,0,2019-12-03 11:00:00,2025-07-16 15:00:00,FD28_filled_Data.csv,
FD29,True,FD29.dat,,95232,12106,2014-09-04 16:00:00,2025-07-16 15:00:00,FD29_filled_Data.csv,
FD30,True,FD30.dat,,95134,5294,2014-09-03 17:00:00,2025-07-11 14:00:00,FD30_filled_Data.csv,
WC05,False,WC05.dat,WC05_met.dat,0,0,,,,ValueError: No CSV header found in C:\Users\filus\Documents\ExxonMobilAI\datasets\TxSON_data_2026-02-24\WC05_met.dat
