Station_ID,File,Start_Date,End_Date,Total_Hours,Total_Days,Has_SWC_5cm,SWC_5_Valid_Pct,Mean_SWC_5cm,Has_Precipitation,Has_AirTemp
CB07,CB07_filled_Data.csv,2014-11-13,2025-07-16,93555,3898.1,True,89.51,0.2017,True,False
CB09,CB09_filled_Data.csv,2016-02-20,2025-07-16,82417,3434.0,True,99.55,0.2243,True,False
CB10,CB10_filled_Data.csv,2014-12-03,2025-07-16,93069,3877.9,True,97.05,0.0824,True,False
CB15,CB15_filled_Data.csv,2014-09-30,2024-02-26,82465,3436.0,True,24.65,0.0008,True,False
CB19,CB19_filled_Data.csv,2014-09-03,2025-07-16,95260,3969.2,True,63.02,0.0745,True,False
CB20,CB20_filled_Data.csv,2014-09-02,2024-03-19,83658,3485.8,True,34.04,0.1003,True,False
CB25,CB25_filled_Data.csv,2014-09-04,2025-07-16,95237,3968.2,True,99.76,0.2376,True,False
CB26,CB26_filled_Data.csv,2016-02-15,2025-07-16,82540,3439.2,True,95.4,0.2711,True,False
CB27,CB27_filled_Data.csv,2014-10-09,2024-03-19,82774,3448.9,True,100.0,0.1123,True,False
CB31,CB31_filled_Data.csv,2014-10-02,2025-07-16,94560,3940.0,True,98.16,0.1821,True,False
CB32,CB32_filled_Data.csv,2014-11-10,2023-12-12,79657,3319.0,True,97.53,0.2928,True,False
CB33,CB33_filled_Data.csv,2014-11-10,2025-07-16,93623,3901.0,True,93.03,0.1745,True,False
FD08,FD08_filled_Data.csv,2014-09-03,2025-08-16,96005,4000.2,True,86.62,3.6179,True,False
FD11,FD11_filled_Data.csv,2014-11-12,2025-07-16,93574,3898.9,True,100.0,0.2318,True,False
FD12,FD12_filled_Data.csv,2014-12-03,2023-09-04,76713,3196.4,True,61.65,0.0814,True,False
FD13,FD13_filled_Data.csv,2014-11-11,2025-07-16,93599,3900.0,True,92.26,0.2506,True,False
FD14,FD14_filled_Data.csv,2014-11-11,2025-07-16,93601,3900.0,True,78.02,0.2371,True,False
FD16,FD16_filled_Data.csv,2014-11-11,2025-07-16,93603,3900.1,True,89.52,26.6572,True,False
FD17,FD17_filled_Data.csv,2019-11-19,2023-09-06,33288,1387.0,True,100.0,0.1833,True,False
FD18,FD18_filled_Data.csv,2016-02-11,2025-07-16,82631,3443.0,True,100.0,0.1746,True,False
FD21,FD21_filled_Data.csv,2022-06-09,2022-07-12,791,33.0,True,100.0,0.1584,True,False
FD22,FD22_filled_Data.csv,2014-09-30,2024-02-26,82460,3435.8,True,100.0,91.5654,True,False
FD23,FD23_filled_Data.csv,2019-11-19,2023-06-01,30955,1289.8,True,100.0,0.2714,True,False
FD24,FD24_filled_Data.csv,2014-09-02,2023-10-31,80307,3346.1,True,88.05,259.4595,True,False
FD28,FD28_filled_Data.csv,2019-12-03,2025-07-16,49253,2052.2,True,100.0,0.2686,True,False
FD29,FD29_filled_Data.csv,2014-09-04,2025-07-16,95232,3968.0,True,87.3,0.1204,True,False
FD30,FD30_filled_Data.csv,2014-09-03,2025-07-11,95134,3963.9,True,95.04,0.216,True,False
