Station_ID,File,Start_Date,End_Date,Total_Hours,Total_Days,Has_SWC_5cm,SWC_5_Valid_Pct,Mean_SWC_5cm,Has_Precipitation,Has_AirTemp
CB07,CB07_filled_Data.csv,2014-11-13,2025-07-16,84132,3505.5,True,100.0,0.2017,True,False
CB09,CB09_filled_Data.csv,2016-02-20,2025-07-16,82308,3429.5,True,100.0,0.2243,True,False
CB10,CB10_filled_Data.csv,2014-12-03,2025-07-16,90347,3764.5,True,100.0,0.0825,True,False
CB15,CB15_filled_Data.csv,N/A,N/A,0,0.0,True,,,True,False
CB19,CB19_filled_Data.csv,2014-09-06,2025-07-16,58277,2428.2,True,100.0,0.0768,True,False
CB20,CB20_filled_Data.csv,2014-09-02,2024-03-19,28548,1189.5,True,100.0,0.1003,True,False
CB25,CB25_filled_Data.csv,2014-09-04,2025-07-16,95026,3959.4,True,100.0,0.2377,True,False
CB26,CB26_filled_Data.csv,2016-02-15,2025-07-16,78784,3282.7,True,100.0,0.2712,True,False
CB27,CB27_filled_Data.csv,2014-10-09,2024-03-19,81156,3381.5,True,100.0,0.1145,True,False
CB31,CB31_filled_Data.csv,2014-10-02,2025-07-16,92837,3868.2,True,100.0,0.1822,True,False
CB32,CB32_filled_Data.csv,2014-11-10,2023-12-12,77709,3237.9,True,100.0,0.2929,True,False
CB33,CB33_filled_Data.csv,2014-11-10,2025-07-16,87180,3632.5,True,100.0,0.1745,True,False
FD08,FD08_filled_Data.csv,2020-09-04,2022-09-07,300,12.5,True,100.0,0.3128,True,False
FD11,FD11_filled_Data.csv,2014-11-12,2025-07-16,93574,3898.9,True,100.0,0.2318,True,False
FD12,FD12_filled_Data.csv,2014-12-03,2023-09-04,46140,1922.5,True,100.0,0.0833,True,False
FD13,FD13_filled_Data.csv,2014-11-11,2025-07-16,86369,3598.7,True,100.0,0.2507,True,False
FD14,FD14_filled_Data.csv,2014-11-11,2025-07-16,73310,3054.6,True,100.0,0.2371,True,False
FD16,FD16_filled_Data.csv,2021-10-07,2021-10-11,50,2.1,True,100.0,0.449,True,False
FD17,FD17_filled_Data.csv,2019-11-19,2023-09-06,33288,1387.0,True,100.0,0.1834,True,False
FD18,FD18_filled_Data.csv,2016-02-11,2025-07-16,82631,3443.0,True,100.0,0.1746,True,False
FD21,FD21_filled_Data.csv,2022-06-09,2022-07-12,791,33.0,True,100.0,0.1584,True,False
FD22,FD22_filled_Data.csv,2023-11-04,2023-11-09,107,4.5,True,100.0,0.2625,True,False
FD23,FD23_filled_Data.csv,2019-11-19,2023-06-01,30955,1289.8,True,100.0,0.2715,True,False
FD24,FD24_filled_Data.csv,2014-09-02,2023-10-31,71824,2992.7,True,100.0,0.154,True,False
FD28,FD28_filled_Data.csv,2019-12-03,2025-07-16,49253,2052.2,True,100.0,0.2686,True,False
FD29,FD29_filled_Data.csv,2014-09-04,2025-07-16,82527,3438.6,True,100.0,0.1213,True,False
FD30,FD30_filled_Data.csv,2014-09-03,2025-07-11,90874,3786.4,True,100.0,0.216,True,False
