Station_ID,Baseline_Mean,RMSE,MAE,R2,Corr,Days
CB07,0.20434,0.076,0.0638,-0.4324,0.7593,365
CB09,0.2532,0.0882,0.08,-1.2751,0.7385,365
CB10,0.07558,0.029,0.0241,0.2455,0.6173,365
CB25,0.25783,0.1276,0.1179,-2.9381,0.62,365
CB26,0.29318,0.1166,0.107,-2.5885,0.5865,365
CB27,0.1095,0.0581,0.0508,-0.2935,0.6768,365
CB31,0.17707,0.0428,0.0372,-0.2565,0.7132,365
CB32,0.30975,0.1216,0.1094,-1.3702,0.7231,365
CB33,0.18282,0.1039,0.0957,-1.7343,0.6992,365
FD11,0.22176,0.0596,0.0518,-0.2536,0.736,365
FD12,0.0806,0.0308,0.027,-0.3637,0.8007,365
FD13,0.26532,0.097,0.0877,-2.4961,0.3771,365
FD14,0.24617,0.0821,0.0691,-0.9946,0.1072,365
FD17,0.17712,0.0503,0.0424,0.1644,0.6668,365
FD18,0.17043,0.0744,0.0657,-0.7867,0.7103,365
FD23,0.28209,0.0849,0.0707,-0.0389,0.7545,365
FD28,0.29573,0.0835,0.0748,-0.6276,0.5948,365
FD29,0.10814,0.0554,0.0493,-0.0443,0.9227,365
FD30,0.22951,0.0966,0.0874,-1.8465,0.6673,365
TXS01,0.18164,0.0892,0.0797,-1.4361,0.6323,364
TXS02,0.19059,0.0875,0.0775,-1.3163,0.6368,364
TXS03,0.19564,0.0884,0.0785,-1.2843,0.6334,364
TXS04,0.19227,0.0858,0.075,-1.1978,0.5848,364
TXS05,0.18771,0.0857,0.0748,-1.2261,0.628,364
TXS06,0.18513,0.0905,0.08,-1.5355,0.6016,364
