Station_ID,Baseline_Mean,RMSE,MAE,R2,Corr,Days
CB09,0.2533268467714309,0.0588,0.0508,-0.0106,-0.0,365
CB10,0.07551519841269838,0.0392,0.031,-0.3748,,365
CB25,0.2576195740008637,0.0707,0.0601,-0.2082,,365
CB26,0.2932956991270319,0.0646,0.0578,-0.0996,0.0,365
CB27,0.11190299065952801,0.0537,0.0435,-0.1022,-0.0,365
CB31,0.17714466736046866,0.0415,0.0342,-0.1789,0.0,365
CB32,0.30981161908040145,0.0797,0.0681,-0.017,-0.0,365
CB33,0.18288969707250144,0.0631,0.0533,-0.0051,,365
FD11,0.2218323461810466,0.063,0.0506,-0.3978,0.0,365
FD13,0.26537842360082575,0.0571,0.0482,-0.2103,0.0,365
FD17,0.1771901523919753,0.0609,0.0514,-0.2254,-0.0,365
FD18,0.17048155387530387,0.0574,0.0484,-0.0614,0.0,365
FD23,0.28218692129629624,0.0859,0.0749,-0.0624,-0.0,365
FD28,0.2957777290379936,0.0655,0.0522,-0.0032,,365
FD30,0.2293149354809623,0.0589,0.0506,-0.0569,,365
TXS01,0.14122184372375435,0.053,0.0447,-0.0766,0.0,365
TXS02,0.18290895869280402,0.0549,0.0488,-0.0174,,365
TXS03,0.16801058264928373,0.0461,0.0392,-0.0009,-0.0,365
TXS04,0.20391180790278443,0.0644,0.0587,-0.0278,-0.0,365
TXS05,0.24976555856075675,0.0585,0.0505,-0.0021,-0.0,365
TXS06,0.11138726259455975,0.0317,0.0251,-0.4609,,365
