Station_ID,Baseline_Mean,RMSE,MAE,R2,Corr,Days
CB07,0.20439,0.108,0.0764,-1.8908,0.2515,365
CB09,0.25333,0.1255,0.1035,-3.6079,0.1294,365
CB10,0.07562,0.0443,0.0356,-0.7555,0.2093,365
CB25,0.25762,0.1655,0.1406,-5.6292,-0.0332,365
CB26,0.2933,0.1354,0.1099,-3.8384,0.2543,365
CB27,0.11225,0.0912,0.0712,-2.1802,0.1913,365
CB31,0.17714,0.0717,0.0569,-2.5277,-0.0577,365
CB32,0.30981,0.1662,0.1352,-3.4256,-0.0344,365
CB33,0.18289,0.1522,0.1277,-4.8545,0.015,365
FD11,0.22185,0.1001,0.0769,-2.5306,0.1698,365
FD13,0.26538,0.1388,0.1161,-6.1455,-0.2167,365
FD14,0.24627,0.1332,0.1084,-4.2515,-0.3303,365
FD17,0.17719,0.0714,0.0567,-0.6864,0.2089,365
FD18,0.17048,0.1088,0.0841,-2.8097,0.2356,365
FD23,0.28219,0.1253,0.099,-1.2632,0.0989,365
FD24,0.15054,0.1037,0.0843,-2.0214,0.0589,365
FD28,0.29578,0.1186,0.1011,-2.284,-0.2048,365
FD30,0.22931,0.1265,0.1033,-3.8735,0.0259,365
TXS01,0.18164,0.0411,0.0319,0.4837,0.7482,364
TXS02,0.19059,0.042,0.0321,0.4669,0.7468,364
TXS03,0.19564,0.0442,0.0346,0.4303,0.7319,364
TXS04,0.19227,0.0398,0.0303,0.5275,0.7455,364
TXS05,0.18771,0.0395,0.0305,0.5267,0.7393,364
TXS06,0.18513,0.0456,0.0379,0.356,0.7872,364
